name,country,region,state,varietal,price,description,merchant,address
Robert Mondavi Winery Cabernet Sauvignon,United States,Napa Valley,California,"Cabernet Sauvignon, Petit Verdot, Cabernet Franc",29.99,"Robert Mondavi Winery Napa Valley Cabernet Sauvignon Red Wine delivers mouth filling, deeply intense blackberry fruit flavor across the palate, with aromas of clove, cardamom and vanilla spice. Dusty tannins add structure to the juicy fullness of the fruit, followed by a lingering, velvety finish. Fruit for this Napa Valley wine is sourced from two of the valley's most renowned sub-appellations: Oakville and Stag's Leap district. The fruit is combined with other grapes from a number of the area's finest vineyards, creating a cabernet sauvignon wine that is the perfect expression of the region. This Robert Mondavi red wine undergoes 24 days of wine to grape skin contact, to maximize the extraction of varietal character while keeping the tannins fleshy and supple. Pair a glass of this delicious red wine with your favorite beef, steak, lamb or pasta dishes. For optimal taste, store this bottle of wine at room temperature, but refrigerate for about 30 to 60 minutes before pouring a glass. Please enjoy our wines responsibly. © 2020 Robert Mondavi, Acampo, CA USA.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Rodney Strong Cabernet Sauvignon,United States,Sonoma County,California,Cabernet Sauvignon,17.99,"Rich with dark cherries, plum, spices, and black pepper. The palate is full with medium tannins and a lush finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Roederer Estate Brut,United States,Anderson Valley,California,"Sparkling, Champagne",14.99,"A voluptuous and expressive sparkler, with floral red apple, brioche and cinnamon spice aromas and rich, vibrant flavors that finish on a luxurious note. #25 Wine Spectator Top 100 of 2017",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Round Pond Sauvignon Blanc,United States,Napa Valley,California,Sauvignon Blanc,19.99,"The aromatics of this warm-weather sipper are bright, playful and tropical, teasing the taste buds with a bouquet of papaya, mango, and honeydew melon. The wine dances across the palate delivering everything promised by the bouquet including layers of white peach, ripe pear, granny smith apples, and candied grapefruit. As you enjoy this wine, it continues to evolve beautifully, finishing with silky tones and refreshing minerality; notes of lime zest, mandarin orange, and limestone linger delightfully for minutes.

PRODUCTION NOTES: All stainless, no malolactic.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
RouteStock Pinot Noir,United States,Sonoma Coast,California,Pinot Noir,19.99,"The nose jumps right out of the glass with classic Pinot Noir aromas of strawberry, shiitake mushrooms, bay laurel and soy. The savory characters of the aroma go straight to the pallet with an amazing combination of that savory and the sweet red fruit characters. There is just enough very high-quality French oak to weave these two amazing characters together. The beautiful silky texture of the wine makes a mouthfeel that is at first expansive and then bright, crisp and inviting you back for another sip. A long lingering aftertaste is highlighted by orange peel, rosemary and toasted hazelnuts.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
"Ruffino Chianti Classico Riserva ""Ducale Oro"" Gran Selezione",Italy,Chianti Classico,Tuscany,Sangiovese,34.99,"Ruffino Riserva Ducale Oro Gran Selezione Chianti Classico DOCG Red Wine is an elegant and well-structured red wine blend that expresses a distinctive Tuscan bouquet of violet, cherry and plum, with scents of chocolate and spice. Made with meticulously hand-harvested chianti, merlot and colorino grapes from Ruffino's acclaimed Gretole and Santedame estates in the Castellina sub-region of Chianti Classico, this Italian red wine offers powerfully fruity flavors with intriguing notes of cinnamon and clove. This red blend ages in oak, stainless steel and concrete vats for 36 months, followed by additional months in the bottle before release, resulting in a full-bodied chianti wine with elegant tannins, good acidity and a lasting finish with hints of chocolate and coffee. Enjoy this fine wine with traditional Italian dishes such as pasta with bolognese sauce, wild boar ragu or eggplant parmesan. It also pairs well with classic American dishes such as grilled rib eye and roasted vegetables. Please enjoy our wines responsibly. © 2020 Ruffino Import Company, Rutherford, CA USA",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
"Ruffino Chianti Classico Riserva ""Ducale""",Italy,Chianti,Tuscany,Sangiovese,19.99,"Color: Intense ruby red.

Aroma: This complex wine is characterized by cherry and violet notes with delicate hints of tobacco, white pepper, and a touch of flint.

Tasting profile: Chianti Classico Riserva Ducale is well balanced on the palate, with velvety tannins, firm acidity, and a lingering finish of rosemary. Its structure will allow it to age for two to five years, if not longer.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Ruffino Lumina Pinot Grigio,Italy,Delle Venezie,Veneto,"Pinot Grigio, Pinot Gris",8.99,"Producing the best Tuscan wines means having access to the best vineyards. With this in mind, Ruffino has, over the years, assembled a collection of top estates in Tuscany's most important fine wine appellations. Starting with the best quality fruit, Ruffino wines reveal themselves without coaxing or manipulation. This is the essence of Ruffino's traditional approach to making wine. The bouquet is fresh and complex, showing refined notes of sage and mint accompanied by an elegant minerality typical of pinot grigio. This wine is medium-bodied, lively, and elegant. Pairs well with prosciutto and mild cheeses, fresh salads, and pasta with cream sauces.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Ruffino Prosecco,Italy,Prosecco,Veneto,Glera,13.99,"Ruffino Prosecco DOC Sparkling White Wine is an Italian sparkling wine meant to be sipped and enjoyed. This creamy and crisp extra dry white wine offers fruity aromas accompanied by hints of wisteria, with an intense peach and golden apple flavor. This Italian wine begins in the hilly area of Valdobbiadene, with glera grapes that undergo a traditional wine vinification. The winemakers then use selected yeasts in a natural refermentation process to create this clean and delicate Ruffino prosecco wine with refined bubbles and a pleasant finish. Enjoy this Italian prosecco as an aperitif, mix it into your favorite cocktail or pair it with margherita pizza, seafood, shellfish and white meat dishes. For the best quality and taste, drink this Ruffino wine young. Refrigerate for three to three and a half hours and serve at a temperature between 45 and 48 degrees. Please enjoy our wines responsibly. © 2020 Ruffino Import Company, Rutherford, CA.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Ruffino Sparkling Rose,Italy,Italy,Italy,"Glera, Pinot Noir",3.99,"Ruffino Rose Extra Dry Sparkling Wine is fresh, fruity and fragrant with notes of strawberry and slight hints of rose petals. On the palate, this sparkling rose wine has elegant bubbles and refreshing acidity, offering alluring flavors of delicate red berries and white fruits that linger through the finish. Ruffino wine is made with high quality fruit straight from the top vineyards in Tuscany. A traditional winemaking process delivers a rose wine that reveals itself without coaxing or manipulation. Pair a glass of this Italian sparkling wine with grilled fish, roasted chicken or mixed greens salad. Serve chilled for optimal taste. Please enjoy our wines responsibly. © 2020 Ruffino Import Company, Rutherford, CA USA",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
SIMI Sonoma County Cabernet Sauvignon,United States,Sonoma County,California,Cabernet Sauvignon,18.99,"Reflecting SIMI Winery's spirit of always striving and constantly evolving, SIMI Sonoma County Cabernet Sauvignon Red Wine offers balanced flavors of the esteemed Sonoma County vineyards. This red California wine opens with aromas of blackberry and plum. Each sip of this SIMI wine features red and black fruit flavors of black plum and cherry, smooth tannins, and soft spice that give way to a supple, velvety finish. Aged for 14 months in French and American oak barrels, this aromatic red grape wine's lingering taste brings out the best flavors of savory dishes like roast duck and lamb, grilled steaks with roasted mushrooms, and Tuscan meatballs. Store and serve this bottle of red wine at room temperature for best taste. Please enjoy our wines responsibly. © 2020 SIMI Winery, Geyserville, CA",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Saint Lorenz Christkndl Gluhwein,United States,Mosel,California,"Merlot, Chardonnay, Chenin Blanc",7.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Saint Michael Eppan Pinot Grigio,Italy,Alto Adige,Trentino Alto Adige,Pinot Grigio,12.99,"Straw yellow with light greenish veins, perfumes strongly marked by the fruit, in particular pear and apple. Soft, fine and elegant.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Saint Supery Sauvignon Blanc,United States,Napa Valley,California,Sauvignon Blanc,15.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Saintsbury Chardonnay Carneros,United States,Napa Valley,California,Chardonnay,12.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
San Felice Il Grigio Chianti Classico Riserva,Italy,Chianti Classico,Tuscany,Sangiovese,18.99,"<font size=""16px"" color=""#800000""><b>WA 93</b></font>
Here is a beautifully polished and elegant wine from the team at San Felice in Castelnuovo Berardegna. The 2015 Chianti Classico Gran Selezione Il Grigio is a supple and silky expression that delivers ripe fruit tones that are framed by mineral tones with mild spice and fragrant red rose. The wine is structured and firm with delicately drying tannins on the close. Drink this accessible Gran Selezione within the next 10 years.-Monica Larner

<font size=""16px"" color=""#800000""><b>JS 96</b></font>
Aromas of bark, spices, sandalwood, and lavender, as well as joyous ripe fruit. Full-bodied, round and powerful with an impressive backbone of tannins and length. Needs at least three to four years to soften. Try in 2021.- James Suckling",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
San Giuseppe Pinot Grigio,Italy,Venezie,Veneto,Pinot Grigio,10.99,"Now San Giuseppe is Denominazione di Origine Controllata, the officially the highest class for Pinot Grigio. 
The result is a richer wine with a more pronounced bouquet.

By adjusting the temperature of wines, one can tune the flavors up or down to better pair with the accompanying food or individual preference. Warmer equals more, cooler equals less, ability possible only with top quality wines. Because cold conceals flaws lower quality wines most be served cooler and cannot deliver flavor.

San Giuseppe superior qualities can matchup with a wide range of foods and individual preferences. From spicy Asian to a plain chicken salad, San Giuseppe quality shines through.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
San Vito Chianti,Italy,Chianti,Tuscany,"Sangiovese, Chianti",11.99,Ruby red in color with bright aromas of cherry and red currants. Juicy on the palate with bright acidity and hints of black pepper on the finish.,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Santa Cristina Toscana,Italy,NA,Tuscany,"Sangiovese, Cabernet Sauvignon, Merlot, Syrah",10.99,"Red wine. Toscana: Indicazione Geografica Tipica. The Santa Cristina cellars are located in Cortona, an ancient city rich in history and art which is seated in the heart of Tuscany, where a long viticultural tradition follows it's roots. Aroma: intense ripe fruit with floral notes. Palate: rich berry fruit with hints of tobacco and violet. Well-structured and harmonious. Soft tannins on the long, lingering finish. Pairings: ideal with pasta, with meat sauces, steak and grilled meats, pork and chicken, and medium-aged cheeses.  Alc. 13% by vol. Bottled by Cantine Santa Cristina Firenze, in Cortona (Arezzo) Italia. Product of Italy.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Santa Ema Reserve Merlot,Chile,Maipo Valley,NA,Merlot,12.99,"A solid Merlot from the heart of the Maipo Valley. Very distinctive character, with soft tannins, loaded with red and dark berries fruit and a nice touch of vanilla and chocolate from its barrel aging. One of the pillars in the Santa Ema portfolio. Nicknamed the ""cookies and cream"" wine.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Santa Margherita Pinot Grigio,Italy,Valdadige,Trentino Alto Adige,Pinot Grigio,22.99,"Santa Margherita Pinot Grigio is the benchmark by which all other Pinot Grigios are judged. The wine boasts a fresh, clean fragrance that is followed by a crisp, refreshing flavor with hints of citrus fruits. This wine is well-structured and sophisticated, a perfect choice for entertaining!",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Santa Margherita Pinot Grigio Half Bottle,Italy,Valdadige,Trentino Alto Adige,Pinot Grigio,12.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Santi Pinot Grigio Sortesele Valdadige,Italy,Valdadige,Trentino Alto Adige,Pinot Grigio,10.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Scharffenberger Sparkling Methode Traditionalle,United States,Mendocino,California,Sparkling,17.99,"Established in 1981, Scharffenberger winery is located in California's Anderson Valley. Its commitment to making  premium sparkling wines has undergone several ownership iterations, but the quality of its products has never been in doubt. It is one of America's best sparkling values. Alc. 12% by vol. Produced and bottled by Scharffenberger Cellars, Philo, California.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Schramsberg Blanc De Noirs,United States,North Coast,California,"Sparkling, Pinot Noir, Chardonnay",30.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sebastiani Cabernet Sauvignon,United States,Sonoma County,California,Cabernet Sauvignon,14.99,"This Cabernet Sauvignon is sourced from select vineyards throughout Lake and Sonoma Counties. The unique dual appellation delivers richness and complexity. Deep ruby in color, this intensly fruit forward Cabernet boasts aromas of black cherry, blackberry, herbs and coconut shavings. The palate is concentrated with jammy fruit flavors along with cassis and coconut oak. Its soft tannins and balanced acidity make this wine perfect for a family-style Italian dinner to share on any occasion.
87% Cabernet Sauvignon, 10% Petite Sirah, 3% Merlot",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sella & Mosca Cannonau Riserva,Italy,NA,Sardinia,"Cannonau, Grenache, Garnacha",14.99,"Nose: garnet shading into a mellow brick red. Palate: rich, austere, dry, and velvety. The island of Sardinia is off the beaten path, but that simply makes its wines terrific values. Called Grenache in France, Garnacia in Spain, and Cannanou on Sardinia, the grape is versatile and capable of making world-class wines such as Châteaueuf du Pape. This wine is no CdP, but it has a mesmerizing bouquet of violets and red fruits. It is warm, dry, and harmonious with plum, strawberry, and raspberry flavors with a nice oak overtone. Aged for two years in large Slavonian casks, this is a medium-bodied, food-friendly wine at a modest 13.5% alcohol. Sella & Mosca’s I Piani estate is one of the largest contiguous vineyards (1200 acres) in Italy and one of the largest wine estates in Europe. Sella & Mosca, which celebrated its centennial in 1999, was founded by Messrs. Eriminio Sella and Edgardo Mosca. Today the property is owned by the Campari Group.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Siduri Pinot Noir Willamette Valley,United States,Willamette Valley,Oregon,Pinot Noir,22.99,"This Pinot Noir offers aromas of fresh cranberry, red plum, tea leaf, sage and boysenberry linger on the nose. Bright, fresh acidity hits the palate up towards the front. Juicy, modest texture in the mid-palate with delicate tannins.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Silk & Spice Red Blend,Portugal,NA,NA,"Touriga Nacional, Alicante Bouschet, Baga",9.99,"#75 Wine Enthusiast Top 100 Best Buys of 2017

Intense red-ruby colored red wine blend characterized by aromas of ripe red fruit combined with hints of vanilla, mocha and spices. A balanced taste, with very soft tannins and a long and persistent finish.Pair with pork chops, beef stew, beef stroganoff, lasagna, and comparable dishes served with tomato-based or barbeque sauces.

Blend: 40% Touriga Nacional, 20% Baga, 20% Syrah, 20% Alicante Bouchet",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Simi Sonoma County Chardonnay,United States,Sonoma County,California,Chardonnay,13.99,"Reflecting SIMI Winery's spirit of always striving and constantly evolving, SIMI Sonoma County Chardonnay White Wine showcases flavors of the best growing regions in Sonoma County. This California wine opens with expressive aromas of baked apple and pear, a spritz of citrus, and hints of cream, roasted marshmallow, clove, and vanilla. Each sip of this SIMI chardonnay features tangerine, lemon, butterscotch, and shortbread cookie flavors. Aged for eight months in French and American oak barrels, this fine wine offers crisp acidity, gentle oak spice, a rich and creamy mouthfeel, and balanced minerality on the finish. This food-friendly California chardonnay wine is a perfect companion to smoked salmon with lemon aioli and toasted brioche; spot prawns sautéed with garlic, lemon, and parsley; or a caprese salad with ripe peach slices, basil, and fresh mozzarella. For best taste, chill this 750 mL bottle of wine in the refrigerator for two to two and a half hours before serving. Please enjoy our wines responsibly. © 2020 SIMI Winery, Geyserville, CA",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Smoking Loon Pinot Noir,United States,NA,California,Pinot Noir,8.99,"Aromas reminiscent of fresh summer plum, wild strawberry, and lavender blossom with hints of crushed purple basil. The palate starts with flavors of bright Bing cherry and vanilla bean. On the finish, French oak notes float in to deliver hints of vanilla and nutmeg.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sogrape Grao Vasco Dao Red,Portugal,Dao,NA,Touriga Nacional,6.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sonoma Cutrer Chardonnay,United States,Sonoma County,California,Chardonnay,20.99,"Its uncompromising methods of vineyard management, grape oversight and cellar maturation are the winemaking principles that allow Sonoma-Cutrer to create California white wine varietals unlike any other. Sonoma Coast Chardonnay reflects a balance of fruit flavors and oak aging, creating a fuller-bodied wine.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stag's Leap Wine Cellars Chardonnay Karia,United States,Napa Valley,California,Chardonnay,28.99,"The name Karia is derived from a word meaning graceful and it is the very character that we seek most in this wine. Crafted in large part with grapes from our estate vineyards, the wine is refreshing, light and graceful on the palate, with bright acidity supporting rich fruit flavors and a mere butterfly kiss of oak.
<font size=""16px"" color=""#800000""><b>WA 90</b></font>
The 2016 Chardonnay Karia is scented of green apples, lemons and orange blossom with a waft of peach kernels and lightly browned toast. The medium to full-bodied palate is understated and well poised, with satiny texture and good expression.- Lisa Perrotti-Brown",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stags' Leap Winery Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,41.99,"Small amounts of Malbec, Merlot, Petite Sirah and Petit Verdot punctuate this well-made wine, layered in red currant and cassis, with classic highlights of cedar and graphite. Softly integrated tannin and oak provide approachability, before a powerful, lingering finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stags' Leap Winery Chardonnay Napa Valley,United States,Napa Valley,California,Chardonnay,19.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stags' Leap Winery Napa Valley Petite Sirah,United States,Napa Valley,California,"Petite Sirah, Syrah",29.99,"Alc. 14.2% by vol. Located at the very heart of Stags Leap District, the original Stags' Leap Winery (Est. 1893) continues a proud winemaking heritage in the prestigious appellation that bears the winery name. Here, at our 240-acre wine estate, a unique terroir and an ideal microclimate support a classical standard of viticulture, land use and winemaking that is as relevant today as it was a century ago.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stag’s Leap Wine Cellars Artemis Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,54.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stark Conde Cabernet Sauvignon,South Africa,Stellenbosch,Western Cape,Cabernet Sauvignon,18.99,Blackberry fruit aromas with tea-leaf and cedar notes. The palate is rich and polished with dark fruit and mocha flavors and finely balanced acidity.,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sterling Vineyards Napa Valley Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,24.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sterling Vineyards Vintner's Collection Pinot Noir,United States,Central Coast,California,Pinot Noir,10.99,"The Sterling Vintner’s Collection Pinot Noir offers notes of black cherry, raspberry, pomegranate, vanilla and tobacco spice on the nose. The concentrated palate is rich with good depth and complex flavors of dark berries, black tea, cocoa dust and warm vanilla. The tannins are silky and well-integrated and lead to a flavorful finish. The diverse nature of Pinot Noir makes it a perfect accompaniment to many foods including grilled meats, cheeses and even salmon.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sterling Vintner's Collection Cabernet Sauvignon,United States,Central Coast,California,Cabernet Sauvignon,10.99,"Cocoa-berry aromas open the nose, complemented by toasty oak spices, plum, cherries and a touch of smoke and violets. Flaunting California's famously friendly nature, the palate unfolds with succulent blackberry and Bing cherry flavors, accented by varietal notes of black pepper and espresso. Rich, dark chocolaty tannins escort the vibrant fruit into long finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sterling Vintner's Collection Chardonnay,United States,NA,California,Chardonnay,10.99,"Irresistibly charming, our Sterling Chardonnay has gracious California style with vibrant fruit and supple texture. Crisp Gala apple, Bartlett pear and hints of pineapple are layered by lovely pie spices and toasty vanilla notes. The palate is long and round with rich viscosity that comes from partial malolactic fermentation and barrel aging. Clean, ripe citrus flavors extend the finish and add a refreshing lift to the rich fruit. A go-to Chardonnay, this wine has the perfect poise for any occasion. Pair it with grilled chicken, seafood or light pastas.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stonestreet Chardonnay Estate,United States,Alexander Valley,California,Chardonnay,29.99,"Offers a classic style in its baked apples, spice, honeycomb, and marzipan profile. Deep, medium-bodied, beautifully balanced, and textured, it’s a class act.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Stonestreet Estate Cabernet Sauvignon,United States,Alexander Valley,California,Cabernet Sauvignon,34.99,"The Cabernet Sauvignon Monument is gorgeous and totally juicy. Blackberry jam, blueberries, savory herbs, tar, pencil shavings and sweet spices all burst from the glass in this deeply resonant, expressive Cabernet Sauvignon. Hints of mocha, espresso and vanilla linger on the finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sun Goddess Pinot Grigio Ramato,Italy,Friuli,Friuli Venezia Giulia,Pinot Grigio,14.99,"The Ramato is a beautiful pinkish tinge. The bouquet is intense and complex, with hints of peach, melon, and undergrowth. On the palate it is full-bodied and velvety, with pleasant acidity.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Sutter Home White Merlot,United States,NA,California,Merlot,5.99,Since 1890. Family owned in the Napa Valley with a tradition of producing quality wines from grapes grown in California's premier vineyards. Enjoy the wines of Sutter Home and discover why we have become an American favorite. Alc. 11.5% by vol.,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tenuta Di Arceno Chianti Classico,Italy,Chianti Classico,Tuscany,Sangiovese,19.99,"The wine offers alluring purity with perfumed aromatics of high-toned red fruits, violets, cypress and earthy notes. The fresh palate has bright red cherries, mineral and spice, with vibrant acidity, soft tannins, and a long, smooth finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tenuta Tignanello Marchese Antinori Chianti Classico Riserva,Italy,Chianti,Tuscany,Sangiovese,39.99,"An intense ruby red in color, the wine shows aromas of ripe red fruit in addition to sensations of vanilla and spice. The palate is abundant, balanced and vigorous with soft, silky tannins and a smooth, supple finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
The Crossings Sauvignon Blanc,New Zealand,NA,Marlborough,Sauvignon Blanc,16.99,"Wine Spectator-Marlborough, New Zealand - ""Smooth and succulent, with a savory mineral edge to the fleshy melon, cucumber and peach flavors, this is stylish and juicy.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
The Original House Wine Rose Cans,United States,Columbia Valley,California,"Grenache, Pinot Noir, Moscato, Sparkling",5.49,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
The Pinot Project Pinot Noir,United States,NA,California,Pinot Noir,10.99,"Cool garnet in color with aromas of pomegranate and fresh roses, The Pinot Project Pinot Noir is balanced on the palate with notes of black cherry and five-spice and a smooth, lingering finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tiefenbrunner Pinot Grigio,Italy,Vigneti Delle Dolomiti,Trentino Alto Adige,Pinot Grigio,12.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tomasello 100 Fruit Blueberry Wine,United States,NA,New Jersey,Moscato,9.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tomasello Ranier Red,United States,NA,New Jersey,"Cabernet Sauvignon, Zinfandel, Chardonnay",9.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tomasello Red Raspberry Wine,United States,NA,New Jersey,Raspberry,9.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tomasello Vidal Blanc Ice Wine,United States,NA,New Jersey,Vidal,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tomasello Winery Blueberry Moscato,United States,NA,New Jersey,Moscato,7.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tomasello Winery Pomegranate Wine,United States,Down,California,Moscato,9.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Torres Celeste Crianza,Spain,Ribera Del Duero,Castilla Y Leon,Tempranillo,18.99,"Intense blackberry colour. Spicy and intense nose, with liquorice and black pepper hints on a base of well ripened fruits (blackberry and cherry). On the palate, very fruity at first with ripened tannins, also persistent and full bodied.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Travaglini Gattinara,Italy,Gattinara,Piedmont,Nebbiolo,27.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Trivento Malbec Reserve,Argentina,Mendoza,NA,Malbec,9.99,"Aged in medium toasted French oak, which adds vanilla aromas and supple tannins to the wine’s rich dark berry flavors. Just right for hearty stews and grilled meats.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Turning Leaf Merlot,United States,NA,California,Merlot,6.99,"Turning Leaf Vineyards Merlot Red Wine is an approachable wine that blends rich, spicy notes of black cherry and ripe plum with hints of oak. This Turning Leaf wine is highly versatile, and pairs perfectly with red meats, including a steak dinner. This full bodied California red wine offers a smooth, velvety finish. This award-winning red Merlot wine from Turning Leaf Vineyards is best served chilled.
",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Tutto Mio Rosso Dolce,Italy,NA,Emilia Romagna,NA,14.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Underwood Cellars Can Sparkling Wine 375ML,United States,NA,Oregon,"Sparkling, Chardonnay, Pinot Gris",5.99,"Underwood The Bubbles is a bright refreshing wine with notes of ripe citrus, tropical fruit, and white flowers. This is a refreshingly casual wine that works well paired with just about any light fare, from bacon and eggs to buttery popcorn and even works well with sushi.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Underwood Cellars Pinot Gris Can,United States,NA,Oregon,Pinot Gris,5.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Underwood Cellars Pinot Noir Can,United States,NA,Oregon,Pinot Noir,5.99,"It’s hard to keep your pinky up when you’re drinking wine from a 375 mL can. These are the most approachable and ready-to-travel anywhere wines we produce. Whether you’re sitting in a hot tub after a good day of riding or heading where other wines dare not travel, we have you covered without sacrificing the craft taste Union is known for.   #PINKIESDOWN",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Underwood Cellars Rose Can,United States,NA,Oregon,Rose,5.99,"The winemaker says that this is the perfect wine for ""action-lounging""; which is the perfect use for a delicious rosé in a conveniently portable can. This rosé has notes of red berries, stone fruit and Meyer lemon.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Venta Morales Tempranillo,Spain,Castilla Y Leon,NA,Tempranillo,6.99,"This riper version of Tempranillo shows black cherries and blueberries, along with sandalwood and sawdust from American oak. The finish reflects its warm region origins with some raisins and dusty earth lingering on the palate.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Verdi Raspberry Sparkletini 750ml Bottle,Italy,NA,NA,NA,6.99,"An elegant, sophisticated, all natural beverage made in Italy by the Bosca family, renowned for the superior quality of the sparkling wines they produce. A sparkling flavored Spumante with low alcohol content that is perfect for every occasion.  Sparkletini has a re-sealable cork closure to preserve the sparkle until you are ready for another glass of All Natural Italian Fun!,",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Veuve Clicquot Vintage Brut,France,Champagne,NA,"Sparkling, Champagne",79.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Veuve Clicquot Yellow Label Brut Champagne,France,Champagne,NA,Champagne,31.99,The magic of Veuve Clicquot comes from the selection of the finest grapes from as many as fifty to sixty different Crus that go into the blend of Yellow Label.,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
