name,country,region,state,varietal,price,description,merchant,address
Eighteen Eighty Three Chardonnay,United States,Monterey County,California,Chardonnay,15.99,"Tropical fruits are bursting from the nose. Juicy fruit on the palate with ripe apples, guava and mango balanced by subtle oak, vanilla, and spice.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
El Jamon Garnacha,Spain,Carinena,NA,Garnacha,8.99,"A fruit driven wine, offering opulent raspberry-strawberry flavors with hints of savory spices.  Soft and well-rounded tannins on the palate add structure to the juicy fruit finish.

100% Garnacha (Grenache) sourced from two bush trained, low yielding vineyards from different altitudes. The lower altitude vineyard adds structure and ripe fruit flavors.  The higher altitude vineyard (1,968 to 2,296 ft.) adds acidity and depth.  Manually harvested at peak ripeness to ensure soft and plush tannins. Cold macerated for 72 hours before fermentation.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
El Jamon Tempranillo,Spain,Carinena,NA,Tempranillo,8.99,"Bursting with ripe berry and plum fruit with savory undertones. Soft and round on the palate with easy tannins and lingering red fruit flavors.

Sourced from two trellised, low yielding vineyards from different altitudes. The lower altitude vineyard adds structure and ripe fruit flavors.  The higher altitude vineyard (1,968 to 2,296 ft.) adds acidity and depth.  Manually harvested at peak ripeness to ensure soft and plush tannins. Cold macerated for 72 hours before fermentation.  
",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Essay Chenin Blanc South Africa,South Africa,Swartland,Western Cape,"Chenin Blanc, Viognier, Roussanne",7.99,"This is a medium-bodied white blend made primarily from South Africa's classic white variety, Chenin Blanc. Chenin Blanc is known for its generosity of fruit and friendliness towards most foods. This wine shows typical Chenin Blanc aromas of pineapple, lychee, and guava. A few months of lees contact enhances the texture of this wine, while still maintaining a fruity palate and fresh finish. The addition of Viognier and Roussanne adds complexity with each component contributing its distinctive characteristics to the blend, bringing out hints of pear, melon, and granadilla.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Fisch Napa Valley Sauvignon Blanc,United States,Napa Valley,California,Sauvignon Blanc,19.99,"Sourced from premium Napa Valley vineyards, this bright, fresh Sauvignon Blanc exhibits ripe citrus and tropical fruits accentuated by vibrant acidity and long finish. Recently placed 1st in a blind tasting among highly acclaimed Napa producers!",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Fog Mountain Cabernet Sauvignon,United States,NA,California,Cabernet Sauvignon,11.99,"This wine, a deep garnet in the glass, opens with alluring aromas of dark red fruit. This luscious Cabernet Sauvignon presents rich flavors of dried plums, Medjool dates, red currants and bright berries flavours on the palate. The wine has soft, round tannins and a lingering finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Fog Mountain Chardonnay,United States,NA,California,Chardonnay,11.99,"Fog Mountain Chardonnay opens with aromas of juicy pear, green apple, and toasted almonds. This wine is bright on the palate with crisp acidity from tart fruits and citrus notes balanced by a hint of vanilla cream.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Fog Mountain Field Blend,United States,NA,California,"Cabernet Sauvignon, Merlot, Petit Sirah, Syrah, Zinfandel",11.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Fog Mountain Pinot Noir,United States,NA,California,Pinot Noir,11.99,"The fog and the mountain are integral to the terroir that creates fine wines. As stewards of the land, we understand the essential role the fog plays in cooling the vines and preserving their flavors over a long ripening period, while the slopes of the mountain offer the unique soil and climate ideally-suited for responsible farming and fine wines. This Pinot Noir opens with wonderful aromas of Bing cherry and strawberry as well as just a touch of delicate baking spice. Bright and light flavors of strawberry pie and brown sugar create an elegant, well balanced, and medium-bodied wine with a juicy finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Fog Mountain Sauvignon Blanc,United States,NA,California,Sauvignon Blanc,11.99,"Fog Mountain’s California Sauvignon Blanc was produced from carefully selected grapes grown throughout California. This Sauvignon Blanc is a lively, elegant wine fermented 100% in stainless steel tanks to preserve freshness. Aromas of key lime, white peach, and guava jump from the glass. On the palate this bright and expressive wine is bursting with flavors of honeydew, tangerine, and fresh pineapple with a touch of honeysuckle. 

We recommend you try it with crab cakes or shrimp scampi pasta.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 49 Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,34.99,"Deep ruby color. Aromas of violets, black currants, black cherry jam, dark chocolate, black pepper, sweet oak, vanilla and charred wood. Full-bodied, ripe and chewy tannins with a long finish that keeps on going. Ripe dark fruit flavors of black cherry and black currants. Vanilla, cocoa powder, black pepper, cedar round out this mouth-filling Cab. Get it now, while it lasts!",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 62 Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,44.99,"In 2016, Mother Nature treated the Napa Valley with a dream growing season to top off her superlative five vintage run. When the history books are written, this vintage will stand with the best.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 69 Marche Rosso IGT,Italy,Marche,NA,NA,19.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 72 Chardonnay,United States,Carneros,California,Chardonnay,24.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 73 Chardonnay Sonoma Coast,United States,Sonoma Coast,California,Chardonnay,22.99,"The Lot 73 Sonoma Coast Chardonnay is a pure expression of the California coastline because the fruit comes from a vineyard located within a stone’s throw of the Pacific.  Picture the Pacific coastline in a bottle: fresh lemon, lime, oyster shell, and rocks. 
 
This has a refreshing acidity, tremendous focus, and an incredibly long finish t",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 74 Pinot Noir,United States,Russian River Valley,California,Pinot Noir,27.99,"The Lot 74 Russian River Valley Pinot Noir is a textbook example of what the region is about.  Ripe red fruit, balanced by savory spice and earthy minerality with rounded tannins and a long finish.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Go Figure Lot 75 Diamond Mountain Cabernet Sauvignon,United States,Napa Valley,California,Cabernet Sauvignon,39.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Going Forward Chardonnay Russian River,United States,Russian River Valley,California,Chardonnay,17.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Going Forward Pinot Noir Russian River Valley,United States,Russian River Valley,California,Pinot Noir,17.99,"Raspberry, red cherry and cocoa powder aromas give way to red fruit and berries, and a light earthy note on the palate.",Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
Goulley Chablis 1er Cru Vosgros,France,Chablis,Burgundy,Chardonnay,26.99,,Gary's Wayne,"1308 NJ-23, Wayne, NJ 07470, USA"
