name,price,region,wine_type,varietal,country,merchant,address
Concha y Toro Casillero del Diablo Merlot ,9.99,Rapel Valley,Red Wine,Merlot,Chile,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Costa al Sole Montepulciano d'Abruzzo,10.99,Abruzzo,Red Wine,Montepulciano,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Costa al Sole Nero d'Avola,10.99,Sicily,Red Wine,Nero d'Avola,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Cabernet Sauvignon,9.99,Cupcake,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Malbec,9.99,Mendoza,Red Wine,Malbec,Argentina,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Merlot,9.99,Central Coast,Red Wine,Merlot,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Red Velvet,9.99,Merlot,Red Wine,Zinfandel,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Cupcake Shiraz,9.99,South Australia,Red Wine,Syrah,Australia,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Dante di Fiorenza Chianti,9.99,Chianti,Red Wine,Italy,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Dante di Fiorenza Chianti Riserva,12.99,Chianti,Red Wine,Italy,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Gnarly Head Cabernet Sauvignon,9.99,Gnarly Head,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Gnarly Head Merlot,9.99,Central Coast,Red Wine,Merlot,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Gnarly Head Old Vine Zin,9.99,Central Valley,Red Wine,Zinfandel,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Gnarly Head Pinot Noir,9.99,Gnarly Head,Red Wine,Pinot Noir,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Layer Cake Cabernet Sauvignon,,Layer Cake,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Layer Cake Malbec,14.99,Mendoza,Red Wine,Malbec,Argentina,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Layer Cake Primitivo a.k.a. Zinfandel,14.99,Puglia,Red Wine,Primitivo,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Layer Cake Shiraz,14.99,South Australia,Red Wine,Syrah,Australia,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Rodney Strong Alexander Valley Estate Cabernet Sauvignon,19.99,Sonoma County,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Rodney Strong Knotty Vines Zinfandel,19.99,Syrah,Red Wine,Zinfandel,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
SeÃÂÃÂ±or-SangrÃÂÃÂ­a Classic Red,6.99,SeÃÂÃÂ±or-SangrÃÂÃÂ­a,Red Wine,Cabernet Sauvignon,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Spindrift Pinot Noir,,Oregon,Red Wine,Pinot Noir,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Sterling Vintner's Collection Cabernet Sauvignon ,14.99,Syrah,Red Wine,Cabernet Sauvignon,France,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Sterling Vintner's Collection Merlot,14.99,Central Coast,Red Wine,Merlot,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Tenuta San Guido Sassicaia 2016,,Italy,Red Wine,Cabernet Sauvignon,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Tenuta San Guido Sassicaia 2017,,Italy,Red Wine,Cabernet Sauvignon,Italy,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
Valenzano Shamong Red,9.99,Valenzano,Red Wine,NaN,United States,bourbon Street Wine and Spirits,"1217 Route 22 West, Phillipsburg NJ 08865"
