wine_id,name,varietal,price,description,Region_Id
30,Fog Mountain Chardonnay,Chardonnay,11.99,"Fog Mountain Chardonnay opens with aromas of juicy pear, green apple, and toasted almonds. This wine is bright on the palate with crisp acidity from tart fruits and citrus notes balanced by a hint of vanilla cream.",782
31,Fog Mountain Field Blend,"Cabernet Sauvignon, Merlot, Petit Sirah, Syrah, Zinfandel",11.99,na,782
32,Fog Mountain Pinot Noir,Pinot Noir,11.99,"The fog and the mountain are integral to the terroir that creates fine wines. As stewards of the land, we understand the essential role the fog plays in cooling the vines and preserving their flavors over a long ripening period, while the slopes of the mountain offer the unique soil and climate ideally-suited for responsible farming and fine wines. This Pinot Noir opens with wonderful aromas of Bing cherry and strawberry as well as just a touch of delicate baking spice. Bright and light flavors of strawberry pie and brown sugar create an elegant, well balanced, and medium-bodied wine with a juicy finish.",782
33,Fog Mountain Sauvignon Blanc,Sauvignon Blanc,11.99,"Fog Mountain’s California Sauvignon Blanc was produced from carefully selected grapes grown throughout California. This Sauvignon Blanc is a lively, elegant wine fermented 100% in stainless steel tanks to preserve freshness. Aromas of key lime, white peach, and guava jump from the glass. On the palate this bright and expressive wine is bursting with flavors of honeydew, tangerine, and fresh pineapple with a touch of honeysuckle. 

We recommend you try it with crab cakes or shrimp scampi pasta.",782
34,Go Figure Lot 49 Cabernet Sauvignon,Cabernet Sauvignon,34.99,"Deep ruby color. Aromas of violets, black currants, black cherry jam, dark chocolate, black pepper, sweet oak, vanilla and charred wood. Full-bodied, ripe and chewy tannins with a long finish that keeps on going. Ripe dark fruit flavors of black cherry and black currants. Vanilla, cocoa powder, black pepper, cedar round out this mouth-filling Cab. Get it now, while it lasts!",744
35,Go Figure Lot 62 Cabernet Sauvignon,Cabernet Sauvignon,44.99,"In 2016, Mother Nature treated the Napa Valley with a dream growing season to top off her superlative five vintage run. When the history books are written, this vintage will stand with the best.",744
36,Go Figure Lot 69 Marche Rosso IGT,na,19.99,na,415
37,Go Figure Lot 72 Chardonnay,Chardonnay,24.99,na,715
38,Go Figure Lot 73 Chardonnay Sonoma Coast,Chardonnay,22.99,"The Lot 73 Sonoma Coast Chardonnay is a pure expression of the California coastline because the fruit comes from a vineyard located within a stone’s throw of the Pacific.  Picture the Pacific coastline in a bottle: fresh lemon, lime, oyster shell, and rocks. 
 
This has a refreshing acidity, tremendous focus, and an incredibly long finish t",771
39,Go Figure Lot 74 Pinot Noir,Pinot Noir,27.99,"The Lot 74 Russian River Valley Pinot Noir is a textbook example of what the region is about.  Ripe red fruit, balanced by savory spice and earthy minerality with rounded tannins and a long finish.",759
40,Go Figure Lot 75 Diamond Mountain Cabernet Sauvignon,Cabernet Sauvignon,39.99,na,744
41,Going Forward Chardonnay Russian River,Chardonnay,17.99,na,759
42,Going Forward Pinot Noir Russian River Valley,Pinot Noir,17.99,"Raspberry, red cherry and cocoa powder aromas give way to red fruit and berries, and a light earthy note on the palate.",759
43,Goulley Chablis 1er Cru Vosgros,Chardonnay,26.99,na,140
44,Granite Hill Cabernet Sauvigon,"Cabernet Sauvignon, Cabernet Franc, Merlot",12.99,"85% Cabernet Sauvignon, 10% Cab Franc, 5% Merlot. Concentrated fruit flavors of dark cherry, toasted oak, black currants, raspberry with a long full finish. Vegan Friendly",735
45,Granite Hill Cellars Old Vine Zinfandel,"Zinfandel, Petite Sirah, Syrah",12.99,"90% Zinfandel, 5% Petite Sirah, 5% Syrah. Aromas of blackberry jam, flavors of black cherries, strawberries, soft peppercorn and a sweet & smoky spice that finish long, flavorful and lingering. Vegan friendly.",735
46,Granite Hill Cellars Pinot Grigio,Pinot Grigio,12.99,This Pinot Grigio displays exotic floral aromas that stream into some subtle green apple and citrus with a light spiciness. The finish is smooth and everlasting with ending notes of peaches.,735
47,Greetings From The Willamette Valley Pinot Noir,Pinot Noir,16.99,"Greetings Willamette Valley Pinot Noir is a wine hand-crafted with an adventurous spirit. Marionberries, spice, dark cherries - grown & produced with the greatest respect for the earth. Lush and round, but this wine is for a winding road, so it’s curvy, elegant. Long finish. It has all the personality you’d want to compliment a journey... Enjoy!",780
48,Hat's Off Chardonnay (by Wente Vineyards),Chardonnay,9.99,"This wine is made with grapes sourced from select vineyards in California and harvested at the optimum level of maturity. The grapes were gently pressed and fermented in a combination of new and used oak barrels and stainless-steel tanks. Fermentation was kept cold to ensure a slow process that retains the natural fruitiness of the grapes. Golden yellow in color, Hats Off Chardonnay is full of inviting vanilla and brown sugar aromatics. A touch of oak and cinnamon-kissed green apple flavors create a smooth Chardonnay with a soft, fruity finish.",744
49,I Veroni Chianti Rufina I Domi,Sangiovese,14.99,na,373
50,Il Roccolo Pinot Grigio,Pinot Gris,12.99,na,479
51,Jacob Heims Old Vines Riesling Kabinett,Riesling,13.99,na,302
52,Joseph Phelps Innisfree Cabernet Sauvignon,Cabernet Sauvignon,29.99,na,744
53,La Ferme Du Mont Cotes du Rhone Villages,"Grenache, Syrah",19.99,na,173
54,La Tonnelle Alpes De Haute Provence Rose,Rose,12.99,"The Syrah in particular gives this wine its structure, color, and red berry aromas with hints of violet. In the glass, it is a salmon color. It possesses great intensity on the nose with hints of lemon and gooseberry. On the palate, it is supple in texture and easy to drink.",108
55,Long Path Cabernet Sauvignon,Cabernet Sauvignon,9.99,"Displays pleasant aromas of bright red cherry and berries. On the palate, flavors of plum, raspberry and cherry are complemented with allspice, cinnamon and vanilla. It's medium-full bodied with a soft tannic structure. Try pairing with steak, but seasoned pork chops and pork tenderloin are also tasty options. Also pair with hard, aged cheeses before dinner.",782
56,Lornano Etel Rosato,Rose,13.99,Fattoria di Lornano is a member of the “Consorzio del Marchio Storico Chianti Classico Gallo Nero” since its foundation in 1924. Lornano practices a sustainable model of agriculture which promotes equilibrium with the environment and preserves natural resources.,375
